VIN#,Debtor Id,Fname,Middle,Lname,Company,Date of birth?,Add1,Add2,City,Prov,Country,Postal,Corporation id
AMS23121308560079,944737,Fionne,,George,,05-22-1982,83 Starlight Cres,,Richmond Hill,BC,CANADA,L4C 4X3,1
AMS24060310440801,949551,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711360267,949621,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711360980,949622,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711370173,949623,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711370550,949624,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711370976,949625,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711370988,949626,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711390016,949627,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711390301,949628,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711390406,949629,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060711390597,949630,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,AB,CANADA,L4K 4N1,1
AMS24060711390832,949631,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060712050235,949632,Fionne," ",George,,05-22-1982,83 Starlight Cres,,Richmond Hill,BC,CANADA,L4C 4X3,1
AMS24060712050800,949635,Fionne," ",George,,05-22-1982,83 Starlight Cres,,Richmond Hill,BC,CANADA,L4C 4X3,1
AMS24060713320014,949670,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320121,949671,Bat," ",Man,,01-01-2010,424 University Centre,,Winnipeg,MB,CANADA,R3T 2N2,1
AMS24060713320248,949674,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320286,949675,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320398,949676,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320593,949677,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320692,949678,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713320692,949679,Scott,,Eastwood,,01-01-2001,220 Dufferin Street,,Toronto,ON,CANADA,L4K 4N2,1
AMS24060713320942,949680,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713330393,949685,,,,Almighty Inc,,123 Court Street,,Toronto,ON,CANADA,L1L 1V1,1
AMS24060713340018,949690,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713340302,949694,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713340748,949698,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713350104,949701,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713350223,949703,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713350460,949707,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713350460,949708,Scott,,Eastwood,,01-01-2001,121 Harbord,,Whitby,ON,CANADA,L1N 2L4,1
AMS24060713350773,949714,Bat," ",Man,,01-01-2010,117 King Edward St,,Winnipeg,MB,CANADA,R3H 0Y3,1
AMS24060713350773,949715,Scott,,Eastwood,,01-01-2001,5275 Portage Ave,,Headingley,MB,CANADA,R4H 1J9,1
AMS24060713360061,949716,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713360364,949717,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713360499,949718,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060713360769,949719,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24060714140459,949730,Bat," ",Man,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,L4K 4N1,1
AMS24061310480177,949744,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061310480459,949745,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061310510262,949746,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061310510847,949747,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061310590651,949748,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061311480615,949749,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061311480101,949750,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061312160154,949751,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061312160889,949752,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
AMS24061312340443,949755,JOHNY," ",BRAVO,,01-01-2010,219 Dufferin Street,,Toronto,ON,CANADA,V6S 2G5,1
